Pixhawk_2_Cube_80-Pin_Header,,,,
Pin,Name,Type,Unit,Side
1,FMU-SWDIO,bi,FMU,left
2,FMU-~LED_AMBER,out,FMU,left
3,FMU-SWCLK,out,FMU,left
4,I2C_2_SDA,bi,I2C,left
5,~EXTERN_CS,out,SPI,left
6,I2C_2_SCL,out,I2C,left
7,FMU-~RESET,in,FMU,left
8,CAN_L_3,bi,CAN,left
9,VDD_SERVO_IN,in,power,left
10,CAN_H_3,in,CAN,left
11,EXTERN_DRDY,in,SPI,left
12,SERIAL_5_RX,in,serial,left
13,GND,gnd,power,left
14,SERIAL_5_TX,out,serial,left
15,GND,gnd,power,left
16,SERIAL_4_RX,in,serial,left
17,SAFETY,in,misc,left
18,SERIAL_4_TX,out,serial,left
19,VDD_3V3_SPECTRUM_EN,out,power,left
20,SERIAL_3_RX,in,serial,left
21,PREASSURE_SENS_IN,in,sensing,left
22,SERIAL_3_TX,in,serial,left
23,AUX_BATT_VOLTAGE_SENS,in,sensing,left
24,ALARM,out,misc,left
25,AUX_BATT_CURRENT_SENS,in,sensing,left
26,IO-VDD_3V3,in,IO,left
27,~VDD_5V_PERIPH_EN,out,power,left
28,IO-~LED_SAFETY_PROT,out,IO,left
29,VBUS,in,USB,left
30,SERIAL2_RTS,bi,serial,left
31,OTG_DP1,bi,USB,left
32,SERIAL2_CTS,bi,serial,left
33,OTG_DM1,bi,USB,left
34,SERIAL2_RX,in,serial,left
35,I2C_1_SDA,bi,I2C,left
36,SERIAL2_TX,out,serial,left
37,I2C_1_SCL,out,I2C,left
38,SERIAL1_RX,in,serial,left
39,CAN_L_2,bi,CAN,left
40,SERIAL1_TX,out,serial,left
41,CAN_H_2,bi,CAN,left
42,SERIAL1_RTS,bi,serial,left
43,~VDD_5V_PERIPH_OC,in,power,left
44,SERIAL1_CTS,bi,serial,left
45,~VDD_5V_HIPOWER_OC,in,power,left
46,IO-USART1_TX,out,IO,left
47,BATT_VOLTAGE_SENS_PROT,in,sensing,left
48,IO-USART1_RX_SPECTRUM_DSM,out,IO,left
49,BATT_CURRENT_SENS_PROT,in,sensing,left
50,FMU-CH1-PROT,out,FMU,left
51,SPI_EXT_MOSI,out,SPI,left
52,FMU-CH2-PROT,out,FMU,left
53,VDD_SERVO,in,power,left
54,FMU-CH3-PROT,out,FMU,left
55,~VDD_BRICK_VALID,in,power,left
56,FMU-CH4-PROT,out,FMU,left
57,~VDD_BACKUP_VALID,in,power,left
58,FMU-CH5-PROT,out,FMU,left
59,~VBUS_VALID,in,USB,left
60,FMU-CH6-PROT,out,FMU,left
61,VDD_5V_IN,in,power,left
62,PPM-SBUS-PROT,in,misc,left
63,VDD_5V_IN,in,power,left
64,S.BUS_OUT,out,misc,left
65,IO-VDD_5V5,out,IO,left
66,IO-CH8-PROT,out,IO,left
67,SPI_EXT_MISO,in,SPI,left
68,IO-CH7-PROT,out,IO,left
69,IO-SWDIO,bi,1wire,left
70,IO-CH6-PROT,out,IO,left
71,IO-SWCLK,out,1wire,left
72,IO-CH5-PROT,out,IO,left
73,SPI_EXT_SCK,out,SPI,left
74,IO-CH4-PROT,out,IO,left
75,IO-~RESET,in,IO,left
76,IO-CH3-PROT,out,IO,left
77,CAN_L_1,bi,CAN,left
78,IO-CH2-PROT,out,IO,left
79,CAN_H_1,bi,CAN,left
80,IO-CH1-PROT,out,IO,left
