NUCLEO_F746ZG ZIO-Header,,,,
Pin,Name,Type,Unit,Side
B1,PC_6,bi,B,left
B2,PB_8,bi,B_right,left
B3,PB_15,bi,B,left
B4,PB_9,bi,B_right,left
B5,PB_13,bi,B,left
B6,AVDD,bi,B_right,left
B7,PB_12,bi,B,left
B8,GND,bi,B_right,left
B9,PA_15,bi,B,left
B10,PA_5,bi,B_right,left
B11,PC_7,bi,B,left
B12,PA_6,bi,B_right,left
B13,PB_5,bi,B,left
B14,PA_7,bi,B_right,left
B15,PB_3,bi,B,left
B16,PD_14,bi,B_right,left
B17,PA_4,bi,B,left
B18,PD_15,bi,B_right,left
B19,PB_4,bi,B,left
B20,PF_12,bi,B_right,left
D1,AVDD,bi,D,left
D2,PF_13,bi,D_right,left
D3,AGND,bi,D,left
D4,PE_6,bi,D_right,left
D5,GND,bi,D,left
D6,PE_11,bi,D_right,left
D7,PB_12,bi,D,left
D8,PF_14,bi,D_right,left
D9,PC_2,bi,D,left
D10,PE_13,bi,D_right,left
D11,PF_4,bi,D,left
D12,PF_15,bi,D_right,left
D13,PB_6,bi,D,left
D14,PG_14,bi,D_right,left
D15,PB_2,bi,D,left
D16,PG_9,bi,D_right,left
D17,GND,bi,D,left
D18,PE_8,bi,D_right,left
D19,PD_13,bi,D,left
D20,PE_7,bi,D_right,left
D21,PD_12,bi,D,left
D22,GND,bi,D_right,left
D23,PD_11,bi,D,left
D24,PE_10,bi,D_right,left
D25,PE_2,bi,D,left
D26,PE_12,bi,D_right,left
D27,GND,bi,D,left
D28,PE_14,bi,D_right,left
D29,PA_0,bi,D,left
D30,PE_15,bi,D_right,left
D31,PB_0,bi,D,left
D32,PB_10,bi,D_right,left
D33,PE_0,bi,D,left
D34,PB_11,bi,D_right,left
A1,NotConn,bi,A,left
A2,PC_8,bi,A_right,left
A3,IOREF,bi,A,left
A4,PC_9,bi,A_right,left
A5,NRST,bi,A,left
A6,PC_10,bi,A_right,left
A7,+3V3,bi,A,left
A8,PC_11,bi,A_right,left
A9,+5V,bi,A,left
A10,PC_12,bi,A_right,left
A11,GND,bi,A,left
A12,PD_2,bi,A_right,left
A13,GND,bi,A,left
A14,PG_2,bi,A_right,left
A15,VIN,bi,A,left
A16,PG_3,bi,A_right,left
C1,PA_3,bi,C,left
C2,PD_7,bi,C_right,left
C3,PC_0,bi,C,left
C4,PD_6,bi,C_right,left
C5,PC_3,bi,C,left
C6,PD_5,bi,C_right,left
C7,PF3,bi,C,left
C8,PD_4,bi,C_right,left
C9,PF_5,bi,C,left
C10,PD_3,bi,C_right,left
C11,PF_10,bi,C,left
C12,GND,bi,C_right,left
C13,NotConn,bi,C,left
C14,PE_2,bi,C_right,left
C15,PA_7,bi,C,left
C16,PE_4,bi,C_right,left
C17,PF_2,bi,C,left
C18,PE_5,bi,C_right,left
C19,PH_1,bi,C,left
C20,PE_6,bi,C_right,left
C21,PH_0,bi,C,left
C22,PE_3,bi,C_right,left
C23,GND,bi,C,left
C24,PF_8,bi,C_right,left
C25,PD_0,bi,C,left
C26,PF_7,bi,C_right,left
C27,PD_1,bi,C,left
C28,PF_9,bi,C_right,left
C29,PG_0,bi,C,left
C30,PG_1,bi,C_right,left
